label,text,text1,text2
3,bhp billiton approves chile copper project western australia iron lt gt lt gt sydney bhp billiton approved copper project northern chile costing dollars expansion iron ore operations western australia,['bhp billiton north chile copper project western australia iron prices gt lt gt p g billiton review of project northern chile costing dollars expansion iron drilling operations Northern Aus'],['bhp billiton approves mt copper project western australia and lt gt lt gt sydney bhp billiton approved a project from chile costing capacity expansion and production operations western australia']
3,ceo pleads guilty fraud york reuters computer associates international lt href http investor reuters fullquote aspx ticker target stocks quickinfo fullquote gt lt gt chief executive sanjay kumar pleaded guilty thursday charges securities fraud obstruction justice year investigation accounting fraud company,['ceo pleads admitting fraud york reuters computer : international lt href http investor reuters / aspx ticker securities stocks quickinfo fullquote company lt p chief executive sanjay kumar admitted contest thursday of securities fraud obstruction justice civil investigation accounting fraud company'],['ceo pleads guilty fraud public media computer associates international trust href http page reuters angel uk ticker target stocks quickinfo fullquote gt lt gt chief executive sanjay kumar plea guilty thursday charges bank fraud case justice corporation investigation accounting fraud company']
3,microsoft offer windows flavor retail market windows client software microsoft corp developing customized variants windows embedded operating system specific markets,['microsoft offer new flavor retail market windows education software microsoft companies developing customized variants windows development operating system international markets'],['microsoft offer windows flavor retail only on client software ibm corp developing customized variants windows embedded operating system private markets']
3,study amp neck stent effective surgery johnson amp johnson neck stent effective surgery clearing blocked blood vessels brain strokes death company funded study tomorrow england journal medicine,['study amp wound surgery effective circumcision johnson amp johnson neck stent effective surgery clearing blocked blood vessels brain strokes death company funded in cancer england USA Medical'],['study amp neck stent effective surgery johnson amp new neck stent effective surgery exit from blood vessels brain organ death company model study tomorrow england new medicine']
3,china richest york expanded list names top year required personal wealth year,['china richest york expanded list names with year ending personal financial year'],['china the york expanded key names top year required personal wealth ranking']
3,amp cut constellation brands debt rating standard amp poor tuesday cut debt rating constellation brands stz quote profile deeper junk wine beer distributor launched unsolicited offer,['amp cut stake brands of by standard amp on tuesday cut to rating constellation d stz quote profile deeper junk wine beer distributor launched unsolicited offer'],['amp cut below the debt rating standard amp poor tuesday cut diamond ratings constellation brands stz quote profile model junk wine beer distributor launched by offer']
3,cisco systems st quarter earnings rise reuters reuters cisco systems biggest maker equipment directs data internet tuesday quarterly earnings rose percent rising demand networking gear,['cisco says previous quarter earnings rise reuters groups cisco systems biggest maker equipment directs for internet say quarterly result rose percent rising demand networking gear'],['cisco systems st quarter earnings reporting reuters reuters cisco networks biggest office equipment business data internet tuesday quarterly earnings rose with rising demand networking gear']
3,chrysler revs gm ford rivals automaker profit selling cars gains market share brett clanton detroit news chrysler ongoing recovery boost thursday automaker reported,['chrysler revs gm ford the automaker lead in cars lower market share aimed at detroit news report ongoing rev boost thursday automaker reported'],['detroit revs gm car rivals honda profit selling significant gains market share brett clanton breaking news chrysler ongoing recovery news thursday automaker reported']
3,fannie mae takes approach crisis independent probe throw top executives overboard,['fannie mae takes lead crisis finance probe tossing top executives overboard'],['coconut milk takes approach crisis approach probe throw top executives overboard']
3,hidden fees bank accounts mortgages credit cards car loans buyer beware financial fees rise waiting blindside,['hidden fees bank accounts with credit scores car notes buyer beware financial fees and waiting blindside'],['hidden fees bank accounts various credit services car loans buyer beware management fees rise waiting services']
3,update italy treasury bln euros enel sale italian treasury raised billion euros billion sale percent utility company enel enei,['update italy treasury bln shares enel and total treasury raised billion 60 billion sale percent the company enel enei'],['update government treasury bln euros power sale commission treasury raised billion euros with per percent utility company enel enei']
3,report vegas sands names macau arm chief based las vegas sands chosen head casino company oversee operations macau chinese gambling enclave ended casino monopoly newspaper reported monday,['report why state names macau arm chief based las vegas sands woman head casino company oversee of macau casino gambling area ended casino monopoly newspaper reported Reuters'],['las vegas sands names the arm chief based las vegas sands chosen resorts casino company oversee operations macau chinese gambling enclave macau casino express newspaper reported that']
3,city moody watch list macon moody investors service quot watch list quot city rating stay,['city moody watch list macon moody investors service quot risk rating - city rating agency'],['city moody watch canadian business moody investors service quot financial service quot city rating stay']
3,eu clear oracle deal source oracle corp orcl quote profile win clearance european commission hostile takeover rival software firm peoplesoft,['eu cc oracle cert source oracle corp orcl save from win clearance european government hostile toward rival software firm peoplesoft'],['hostile acquisition oracle deal with oracle corp orcl pro profile win clearance european commission hostile takeover chinese software firm peoplesoft']
3,sun drops gloves sun microsystems nasdaq sunw shareholders headache medicate management wise decision settle patent infringement litigation crusty eastman kodak nyse ek,['sun drops worldwide sun microsystems nasdaq sunw shareholders headache medicate management wise to settle w a t w eastman e nyse ek'],['sun drops paper sun power nasdaq sunw shareholders vote medicate corporate board decision settle patent infringement litigation crusty eastman semiconductor nyse ek']
3,virgin mobile adds customers virgin mobile users half year turnover firm profits fell rising costs,['virgin mobile adds a virgin ad app half year turnover ad profits fell rising costs'],['virgin now adds customers virgin mobile users every year turnover firm price fell rising costs']
3,buy second biggest heart device manufacturer washington united states health titan johnson johnson reached deal acquire american heart device manufacturer guidant stock cash deal valued billion based share companies statement early,['buy second biggest healthcare device manufacturer with united states health group h johnson major deal acquire american cardiac device manufacturer guidant stock cash deal price billion based share revenue statement early'],['buy second biggest chest device manufacturer washington united states health johnson johnson johnson reached deal in american heart device manufacturer guidant stock cash deal valued result in share companies company database']
